batsman,total_runs,total_balls,fours,sixes,strike_rate,wicket_taken,season,stadium,team,opposing_team
Mohammad Hafeez,2,6,0,0,33.33,c Miller b Umaid Asif,2021,"Sheikh Zayed Stadium, Abu Dhabi",Lahore Qalandars,Peshawar Zalmi
Mohammad Hafeez,8,8,1,0,100.00,c Hussain Talat b Muhammad Musa,2021,"Sheikh Zayed Stadium, Abu Dhabi",Lahore Qalandars,Islamabad United
Mohammad Hafeez,74,46,9,2,160.86,not out,2020,"National Stadium, Karachi",Lahore Qalandars,Peshawar Zalmi
Mohammad Hafeez,19,21,2,0,90.47,c Lyth b Shahid Afridi,2020,"National Stadium, Karachi",Lahore Qalandars,Multan Sultans
Mohammad Hafeez,2,4,0,0,50.00,c Babar Azam b Imad Wasim,2020,"National Stadium, Karachi",Lahore Qalandars,Karachi Kings
Mohammad Hafeez,1,5,0,0,20.00,c Azam Khan b Usman Shinwari,2021,"Sheikh Zayed Stadium, Abu Dhabi",Lahore Qalandars,Quetta Gladiators
Mohammad Hafeez,36,36,3,1,100.00,c Imad Wasim b Noor Ahmad,2021,"Sheikh Zayed Stadium, Abu Dhabi",Lahore Qalandars,Karachi Kings
Mohammad Hafeez,14,13,1,1,107.69,c Khushdil Shah b Muzarabani,2021,"Sheikh Zayed Stadium, Abu Dhabi",Lahore Qalandars,Multan Sultans
Mohammad Hafeez,16,12,2,0,133.33,c & b Khushdil Shah,2022,"National Stadium, Karachi",Lahore Qalandars,Multan Sultans
Mohammad Hafeez,18,15,1,1,120.00,c †Mohammad Rizwan b Abbas Afridi,2023,Multan Cricket Stadium,Quetta Gladiators,Multan Sultans
Mohammad Hafeez,24,21,4,0,114.28,c Babar Azam b Imad Wasim,2022,"National Stadium, Karachi",Lahore Qalandars,Karachi Kings
Mohammad Hafeez,37,19,3,1,194.73,not out,2022,"National Stadium, Karachi",Lahore Qalandars,Peshawar Zalmi
Mohammad Hafeez,25,22,0,2,113.63,c Shaheen Shah Afridi b Wiese,2023,"National Stadium, Karachi",Quetta Gladiators,Lahore Qalandars
Mohammad Hafeez,5,11,0,0,45.45,c Stirling b Shadab Khan,2022,"National Stadium, Karachi",Lahore Qalandars,Islamabad United
Mohammad Hafeez,48,26,6,2,184.61,c Mubasir Khan b Fazalhaq Farooqi,2023,"National Stadium, Karachi",Quetta Gladiators,Islamabad United
Mohammad Hafeez,8,5,0,1,160.00,c Naseem Shah b Ghulam Mudassar,2022,"National Stadium, Karachi",Lahore Qalandars,Quetta Gladiators
Mohammad Hafeez,43,29,1,3,148.27,c Anwar Ali b Shahnawaz Dahani,2022,"Gaddafi Stadium, Lahore",Lahore Qalandars,Multan Sultans
Mohammad Hafeez,9,5,0,1,180.00,not out,2022,"Gaddafi Stadium, Lahore",Lahore Qalandars,Quetta Gladiators
Mohammad Hafeez,2,7,0,0,28.57,run out (Fakhar Zaman),2023,"Gaddafi Stadium, Lahore",Quetta Gladiators,Lahore Qalandars
Mohammad Hafeez,33,24,4,0,137.50,run out (Qasim Akram/†Rohail Nazir),2022,"Gaddafi Stadium, Lahore",Lahore Qalandars,Karachi Kings
Mohammad Hafeez,41,18,6,2,227.77,not out,2023,Rawalpindi Cricket Stadium,Quetta Gladiators,Peshawar Zalmi
Mohammad Hafeez,2,4,0,0,50.00,run out (Faheem Ashraf),2022,"Gaddafi Stadium, Lahore",Lahore Qalandars,Islamabad United
Mohammad Hafeez,1,2,0,0,50.00,c Rossouw b Abbas Afridi,2023,Rawalpindi Cricket Stadium,Quetta Gladiators,Multan Sultans
Mohammad Hafeez,49,44,3,1,111.36,c Mohammad Haris b Wahab Riaz,2022,"Gaddafi Stadium, Lahore",Lahore Qalandars,Peshawar Zalmi
Mohammad Hafeez,0,3,0,0,0.00,st †Mohammad Rizwan b Khushdil Shah,2022,"Gaddafi Stadium, Lahore",Lahore Qalandars,Multan Sultans
